Application Status Codes,4,ApplicationStatusCodes
In Progress,5,ApplicationStatusCodes
Submitted,6,ApplicationStatusCodes
Awaiting Verification Of Identity,7,ApplicationStatusCodes
Awaiting Documents,8,ApplicationStatusCodes
Action Required,9,ApplicationStatusCodes
Pending Review,10,ApplicationStatusCodes
Pre-Approved,11,ApplicationStatusCodes
Unconditional Approval,12,ApplicationStatusCodes
Individual,13,ApplicationTypes
Joint,14,ApplicationTypes
Sell it,15,AssetPropertyIntention
Keep it,16,AssetPropertyIntention
Cash management trust,17,AssetSubTypes
Cheque account,18,AssetSubTypes
Savings account,19,AssetSubTypes
Term deposit,20,AssetSubTypes
Other account,21,AssetSubTypes
Approved Deposit Fund,22,AssetSubTypes
Corporate Fund,23,AssetSubTypes
Eligible Rollover Fund,24,AssetSubTypes
Industry Fund,25,AssetSubTypes
Public Sector Fund,26,AssetSubTypes
Retail Fund,27,AssetSubTypes
Retirement Savings Account,28,AssetSubTypes
Self Managed Superannuation Fund,29,AssetSubTypes
Vehicle,30,AssetTypes
Savings and Deposits,31,AssetTypes
Investments,32,AssetTypes
Superannuation,33,AssetTypes
Home Contents,34,AssetTypes
Business,35,AssetTypes
Property,36,AssetTypes
Other,37,AssetTypes
Motor Vehicle,38,AssetSubTypes
Motorcycle,39,AssetSubTypes
Boat,40,AssetSubTypes
Campervan or Motorhome,41,AssetSubTypes
Light Trailer or Caravan,42,AssetSubTypes
ACT,43,AustralianStates
NSW,44,AustralianStates
VIC,45,AustralianStates
QLD,46,AustralianStates
SA,47,AustralianStates
WA,48,AustralianStates
NT,49,AustralianStates
TAS,50,AustralianStates
High,51,ConfidenceBands
Medium High,52,ConfidenceBands
Medium,53,ConfidenceBands
Medium Low,54,ConfidenceBands
Low,55,ConfidenceBands
Credit card debts,56,ConsolidatedDebtTypes
Vehicle leases,57,ConsolidatedDebtTypes
Personal loans,58,ConsolidatedDebtTypes
Personal overdraft,59,ConsolidatedDebtTypes
Home number,60,ContactNumberTypes
Mobile number,61,ContactNumberTypes
Phone,62,ContactPreferences
Email,63,ContactPreferences
Deposit,64,ContributionType
Cash At Bank,65,ContributionType
Sales Proceeds,66,ContributionType
First Home Buyers Grant,67,ContributionType
Other Grants,68,ContributionType
Other contribution type,69,ContributionType
Equity in existing property,70,ContributionType
Legal fees,71,CostTypes
Annual facility fee,72,CostTypes
Establishment fee,73,CostTypes
Lenders Mortgage Insurance (LMI) fee estimate,74,CostTypes
Lenders protection fee,75,CostTypes
Mortgage application or establishment fee,76,CostTypes
Stamp Duty,77,CostTypes
Other costs,78,CostTypes
Settlement fee,79,CostTypes
Monthly facility fee,80,CostTypes
Lender valuation fee,81,CostTypes
Early termination or break fees,82,CostTypes
Mortgage discharge fee,83,CostTypes
Moving costs,84,CostTypes
Exit cleaning costs,85,CostTypes
Renovation costs,86,CostTypes
Foreign purchaser duty,87,CostTypes
Mortgage registration fee,88,CostTypes
Title transfer fee,89,CostTypes
Property inspection fee,90,CostTypes
Lenders fees and charges,91,CostTypes
Building insurance,92,CostTypes
Pest and building inspection,93,CostTypes
Final bill,94,CostTypes
Agent's commission,95,CostTypes
Conveyancing fees,96,CostTypes
Marketing and advertising fees and costs,97,CostTypes
Staging costs,98,CostTypes
Auction fees,99,CostTypes
Repayment of existing loan,100,CostTypes
Title search fee,101,CostTypes
Afghanistan,102,Countries2
Aland Islands,103,Countries2
Albania,104,Countries2
Algeria,105,Countries2
American Samoa,106,Countries2
Andorra,107,Countries2
Angola,108,Countries2
Anguilla,109,Countries2
Antarctica,110,Countries2
Antiguaand Barbuda,111,Countries2
Argentina,112,Countries2
Armenia,113,Countries2
Aruba,114,Countries2
Australia,115,Countries2
Austria,116,Countries2
Azerbaijan,117,Countries2
Bahamas,118,Countries2
Bahrain,119,Countries2
Bangladesh,120,Countries2
Barbados,121,Countries2
Belarus,122,Countries2
Belgium,123,Countries2
Belize,124,Countries2
Benin,125,Countries2
Bermuda,126,Countries2
Bhutan,127,Countries2
Bolivia_ Plurinational Stateof,128,Countries2
Bonaire Sint Eustatiusand Saba,129,Countries2
Bosniaand Herzegovina,130,Countries2
Botswana,131,Countries2
Bouvet Island,132,Countries2
Brazil,133,Countries2
British Indian Ocean Territory,134,Countries2
Brunei Darussalam,135,Countries2
Bulgaria,136,Countries2
Burkina Faso,137,Countries2
Burundi,138,Countries2
Cambodia,139,Countries2
Cameroon,140,Countries2
Canada,141,Countries2
Cape Verde,142,Countries2
Cayman Islands,143,Countries2
Central African Republic,144,Countries2
Chad,145,Countries2
Chile,146,Countries2
China,147,Countries2
Christmas Island,148,Countries2
Cocos_ Keeling Islandsr,149,Countries2
Colombia,150,Countries2
Comoros,151,Countries2
Congo,152,Countries2
Congo_ Democratic Republicofthe,153,Countries2
Cook Islands,154,Countries2
Costa Rica,155,Countries2
Coted Ivoire,156,Countries2
Croatia,157,Countries2
Cuba,158,Countries2
Curaçao,159,Countries2
Cyprus,160,Countries2
Czechia,161,Countries2
Denmark,162,Countries2
Djibouti,163,Countries2
Dominica,164,Countries2
Dominican Republic,165,Countries2
Ecuador,166,Countries2
Egypt,167,Countries2
El Salvador,168,Countries2
Equatorial Guinea,169,Countries2
Eritrea,170,Countries2
Estonia,171,Countries2
Ethiopia,172,Countries2
Falkland Islands_ Malvinas,173,Countries2
Faroe Islands,174,Countries2
Fiji,175,Countries2
Finland,176,Countries2
France,177,Countries2
French Guiana,178,Countries2
French Polynesia,179,Countries2
French Southern Territories,180,Countries2
Gabon,181,Countries2
Gambia,182,Countries2
Georgia,183,Countries2
Germany,184,Countries2
Ghana,185,Countries2
Gibraltar,186,Countries2
Greece,187,Countries2
Greenland,188,Countries2
Grenada,189,Countries2
Guadeloupe,190,Countries2
Guam,191,Countries2
Guatemala,192,Countries2
Guernsey,193,Countries2
Guinea,194,Countries2
Guinea Bissau,195,Countries2
Guyana,196,Countries2
Haiti,197,Countries2
Heardand Mc Donald Islands,198,Countries2
Holy See Vatican City State,199,Countries2
Honduras,200,Countries2
Hong Kong,201,Countries2
Hungary,202,Countries2
Iceland,203,Countries2
India,204,Countries2
Indonesia,205,Countries2
Iran Islamic Republicof,206,Countries2
Iraq,207,Countries2
Ireland,208,Countries2
Isleof Man,209,Countries2
Israel,210,Countries2
Italy,211,Countries2
Jamaica,212,Countries2
Japan,213,Countries2
Jersey,214,Countries2
Jordan,215,Countries2
Kazakstan,216,Countries2
Kenya,217,Countries2
Kiribati,218,Countries2
Korea Democratic Peoples Republicof,219,Countries2
Korea Republicof,220,Countries2
Kuwait,221,Countries2
Kyrgyzstan,222,Countries2
Lao Peoples Democratic Republic,223,Countries2
Latvia,224,Countries2
Lebanon,225,Countries2
Lesotho,226,Countries2
Liberia,227,Countries2
Libyan Arab Jamahiriya,228,Countries2
Liechtenstein,229,Countries2
Lithuania,230,Countries2
Luxembourg,231,Countries2
Macao,232,Countries2
Macedonia theformer Yugoslav Republicof,233,Countries2
Madagascar,234,Countries2
Malawi,235,Countries2
Malaysia,236,Countries2
Maldives,237,Countries2
Mali,238,Countries2
Malta,239,Countries2
Marshall Islands,240,Countries2
Martinique,241,Countries2
Mauritania,242,Countries2
Mauritius,243,Countries2
Mayotte,244,Countries2
Mexico,245,Countries2
Micronesia Federated Statesof,246,Countries2
Moldova the Republicof,247,Countries2
Monaco,248,Countries2
Mongolia,249,Countries2
Montenegro,250,Countries2
Montserrat,251,Countries2
Morocco,252,Countries2
Mozambique,253,Countries2
Myanmar,254,Countries2
Namibia,255,Countries2
